,es_respuesta,fecha,likes,respuestas,texto,usuario,seccion,titulo,url,severe_toxicity,toxicity
4779,True,3 sem,·,0,Vos sos marica no?? Bien que cuando te arrodillas a sobar la quena te gusta que el tipo abra bien las gambas...,Rodrigo Diaz,america/mundo,La polémica campaña feminista que causó revuelo en el metro de Rusia,https://www.infobae.com/america/mundo/2018/09/26/la-polemica-campana-feminista-que-causo-revuelo-en-el-metro-de-rusia/&sa=U&ved=0ahUKEwiiveORv5veAhWLDJAKHaLQDNYQFggZMAE&usg=AOvVaw2nSOJPCWOQ1LI1ydOFIJjp,0.9006841999999998,0.98624593
2390,False,4 sem,3,1,"Malditos sindicalistas mafiosos degenerados

Somos rehenes de una Corporación Mafiosa que está a las órdenes de una desquiciada, ladrona, asesina, degenerada ¡ Maldita mil veces seas Cristina Elisabet Fernandez!!! ¡ Malditos sean todos tus seguidores y adoradores!!!",Leandro Tomeo de Erpa,sociedad,Aerolíneas Argentinas canceló todos los vuelos previstos para el martes por el paro,https://www.infobae.com/sociedad/2018/09/24/aerolineas-argentinas-cancelo-todos-los-vuelos-previstos-para-el-martes-por-el-paro/&sa=U&ved=0ahUKEwjJ0KTbvpveAhWDvZAKHTBwD24QFggrMAQ&usg=AOvVaw1FQGDHwfYf9tzdX8Go_Ggs,0.90981734,0.97868896
2401,False,4 sem,8,2,"Malditos sindicalistas mafiosos degenerados

Somos rehenes de una Corporación Mafiosa que está a las órdenes de una desquiciada, ladrona, asesina, degenerada ¡ Maldita mil veces seas Cristina Elisabet Fernandez!!! ¡ Malditos sean todos tus seguidores y adoradores!!!",Andrea Buc,sociedad,Aerolíneas Argentinas canceló todos los vuelos previstos para el martes por el paro,https://www.infobae.com/sociedad/2018/09/24/aerolineas-argentinas-cancelo-todos-los-vuelos-previstos-para-el-martes-por-el-paro/&sa=U&ved=0ahUKEwjJ0KTbvpveAhWDvZAKHTBwD24QFggrMAQ&usg=AOvVaw1FQGDHwfYf9tzdX8Go_Ggs,0.90981734,0.97868896
2402,False,4 sem,8,2,"Malditos sindicalistas mafiosos degenerados

Somos rehenes de una Corporación Mafiosa que está a las órdenes de una desquiciada, ladrona, asesina, degenerada ¡ Maldita mil veces seas Cristina Elisabet Fernandez!!! ¡ Malditos sean todos tus seguidores y adoradores!!!",Andrea Buc,sociedad,Aerolíneas Argentinas canceló todos los vuelos previstos para el martes por el paro,https://www.infobae.com/sociedad/2018/09/24/aerolineas-argentinas-cancelo-todos-los-vuelos-previstos-para-el-martes-por-el-paro/&sa=U&ved=0ahUKEwjJ0KTbvpveAhWDvZAKHTBwD24QFggrMAQ&usg=AOvVaw1FQGDHwfYf9tzdX8Go_Ggs,0.90981734,0.97868896
2391,False,4 sem,3,1,"Malditos sindicalistas mafiosos degenerados

Somos rehenes de una Corporación Mafiosa que está a las órdenes de una desquiciada, ladrona, asesina, degenerada ¡ Maldita mil veces seas Cristina Elisabet Fernandez!!! ¡ Malditos sean todos tus seguidores y adoradores!!!",Leandro Tomeo de Erpa,sociedad,Aerolíneas Argentinas canceló todos los vuelos previstos para el martes por el paro,https://www.infobae.com/sociedad/2018/09/24/aerolineas-argentinas-cancelo-todos-los-vuelos-previstos-para-el-martes-por-el-paro/&sa=U&ved=0ahUKEwjJ0KTbvpveAhWDvZAKHTBwD24QFggrMAQ&usg=AOvVaw1FQGDHwfYf9tzdX8Go_Ggs,0.90981734,0.97868896
9194,False,3 sem,4,0,"CALLATE LA BOCA MARACA. SACASTE EL 21% EN SALTA Y TE LA DAS DE ALTERNATIVA??? PARECÉS UN MINISTRO DEL GABINETE DE ESTOS HIJOS DE PUTA. EN SERIO ME VAS A HACER CREER QUE SOS LA ""ALTERNATIVA""?",Javier Omar Gonzalez,politica,"Juan Manuel Urtubey: ""Yo avanzaría en el desafuero de Cristina Kirchner""",https://www.infobae.com/politica/2018/09/28/juan-manuel-urtubey-yo-avanzaria-en-el-desafuero-de-cristina-kirchner/&sa=U&ved=0ahUKEwi-8Ou1v5veAhVHHJAKHXufA7QQFggrMAQ&usg=AOvVaw3spVeP3ucmdVIw3wFG1du0,0.84545624,0.97746897
21553,True,2 sem,·,0,che maraca patetico anda a ayudar al pedofilo a asesinar a tus compatriotas,Isidoro Winicki,america/mundo,Un terrorista palestino mató a dos israelíes e hirió a una más en Cisjordania,https://www.infobae.com/america/mundo/2018/10/07/tres-israelies-resultaron-heridos-de-gravedad-tras-un-ataque-de-terroristas-palestinos-en-cisjordania/&sa=U&ved=0ahUKEwiH9qz6wJveAhWEiJAKHWkcAnoQFggZMAE&usg=AOvVaw0vCyfwOA6NVAxG4sETeXMa,0.9199224,0.9728893
24802,True,2 sem,3,0,"Dana Escoli Entendés que hay curas degenerados de toda la vida, no? Legalicemos la pedofilia religiosa entonces!! Los argumentos abortistas son tan pelotudos!!",Delfina Vicentelo,sociedad,"""Entraron al hospital disfrazados de médicos"": la estrategia “de guerra” para frenar los abortos legales",https://www.infobae.com/sociedad/2018/10/09/entraron-al-hospital-disfrazados-de-medicos-la-estrategia-de-guerra-para-frenar-los-abortos-legales/&sa=U&ved=0ahUKEwiDr87i9JzeAhXFfpAKHfg8CGkQFggrMAQ&usg=AOvVaw0UcZmqLGDhvW6p5MBkwaII,0.8825915000000001,0.92815906
32122,False,1 sem,7,0,estas feminazis pañuelitos verdes son el emergente de esta sociedad. tortilleras,Ernesto Hernan Giliberto,sociedad,Diez detenidas tras incidentes en el Encuentro Nacional de Mujeres,https://www.infobae.com/sociedad/2018/10/14/diez-detenidas-tras-incidentes-en-el-encuentro-nacional-de-mujeres/&sa=U&ved=0ahUKEwiSlr2n95zeAhVMEpAKHfiQBjUQFggZMAE&usg=AOvVaw0RTEOKWcFEVcrRjUt24It2,0.8825915000000001,0.92028683
38920,False,6 d,5,0,y quien se cree ese pedófilo del PAPA para manejar MIIIIIII. PAIIIIIS. !!!! SEMEJANTES DEGENERADOS ESTE SE ESCONDE BAJO ESA SOTANA Y LA OTRA VIEJA PERVERSA SE ESCONDE BAJO ESE INMUNDO PAÑUELO!!,Mary Muñoz,politica,El audio que grabó Hebe de Bonafini para desmentir los rumores sobre su muerte,https://www.infobae.com/politica/2018/10/18/el-audio-de-hebe-de-bonafini-para-desmentir-los-rumores-sobre-su-muerte/&sa=U&ved=0ahUKEwiV0Ki--JzeAhVIIZAKHXbmB2gQFggfMAI&usg=AOvVaw2m0buLmFN2B0ebayW7-LP2,0.7266589,0.88334805
