,es_respuesta,fecha,likes,respuestas,texto,usuario,seccion,titulo,url,severe_toxicity,toxicity
14317,False,3 sem,9,0,"esta estupida retrasada mental solo se lo puede decirselo a un inutil como Novaresio, un periodista en serio le pondria los puntos a esa hija de terroristas asesinos",Carlos Delgar,politica,"Victoria Donda: ""Elena Highton de Nolasco manipuló información privilegiada para su provecho""",https://www.infobae.com/politica/2018/10/01/victoria-donda-elena-highton-de-nolasco-manipulo-informacion-privilegiada-para-su-provecho/&sa=U&ved=0ahUKEwiGp-Hyv5veAhUEvZAKHU3_A5AQFggqMAQ&usg=AOvVaw1la8vstSz8UJ0m4d4eMuBm,0.90981734,0.98624593
34208,False,1 sem,6,0,"Gordo delincuente, vos y este diario de cuarta que te das refugio, cueva de ladrones",Carlos Fernandez,deportes-2,Argentina se preparó para que Brasil no lo golee: el panorama es oscuro,https://www.infobae.com/deportes-2/2018/10/16/argentina-se-preparo-para-que-brasil-no-lo-golee-el-panorama-es-oscuro/&sa=U&ved=0ahUKEwilvNTr95zeAhWGHpAKHWZKArcQFggZMAE&usg=AOvVaw3aLhHswAqd4bUA9pgywS20,0.8825915000000001,0.96820086
9530,False,3 sem,12,2,"El periodista que lo defiende, implorando que ya no le peguen es tan vomitivo como ese viejo de mier.da. Evidentemente es otro violín.",Eduardo Fisbein,sociedad,"""No la acosé, la apoyé"": hostigó a una kiosquera y recibió una golpiza de los vecinos",https://www.infobae.com/sociedad/2018/09/28/video-indignante-acoso-a-una-kiosquera-y-quisieron-licharlo/&sa=U&ved=0ahUKEwjzuNyxv5veAhWDkZAKHTxpAyAQFggTMAA&usg=AOvVaw2yOc3IqcAizQ5T86FNNPv9,0.8825915000000001,0.9668693000000002
13459,False,3 sem,2,1,"SE puede ser una persona mas pelotuda que este Canaletti?, que periodista de cuarta por favor.",Ariel Fabian Altobello,sociedad,"Relatos salvajes: discutió con otro automovilista por una mala maniobra, sacó un arma y lo mató",https://www.infobae.com/sociedad/2018/09/30/discutio-con-otro-automovilista-por-una-mala-maniobra-saco-un-arma-y-lo-mato/&sa=U&ved=0ahUKEwiN_pbav5veAhWDg5AKHYlHBhsQFggrMAQ&usg=AOvVaw3rIJ2j0zRXH59oT-Qi2owg,0.7266589,0.904667
4046,False,4 sem,6,0,Ya ni en este diario te creen hombre rata,Martin La-Ruffa,politica,El paro afecta al país pero favorece a Mauricio Macri,https://www.infobae.com/politica/2018/09/25/el-paro-afecta-al-pais-pero-favorece-a-mauricio-macri/&sa=U&ved=0ahUKEwiH87z1vpveAhVBlJAKHdY5C4YQFgglMAM&usg=AOvVaw3CNg-KijWJXE5o3V3klpVp,0.7266589,0.904667
6563,False,3 sem,·,0,DISCULPEN ME SACO LEER ESA NOTA EN LA GACETA DE TUCUMAN..NO PUEDO CREER QUE EXISTAN ESTOS TIPOS OCUMANDO CARGOS PUBLICOS..POR LO MENOS SI NO SABE DEL TEMA QUE SE ASESORE BIEN ANTES DE HABLAR IMBECILIDADES...LA VERDAD ESTAMOS LLENOS DE IDIOTAS....EL ESTADO NACIONAL DEBERIA HACER ALGO CON ESTOS IMBECILES.,San Roque Leales,sociedad,Sufrió un violento robo y ahora atiende armado,https://www.infobae.com/sociedad/2018/09/27/sufrio-un-violento-robo-y-ahora-atiende-armado/&sa=U&ved=0ahUKEwiO7oicv5veAhXHiJAKHednAiMQFggZMAE&usg=AOvVaw3fJgVMXX79DjZ5uYDlq7ZS,0.66975886,0.8744177
45885,True,1 d,·,0,SI EL UNIKO PERIODISTA BRUTO INKULTO INUTYL IGNORANTE PELOTUDHO DE ESE PANEL ES BRANAKBOSTA,Sergio Jose Irrutia,teleshow/infoshow,Diego Brancatelli será papá por segunda vez,https://www.infobae.com/teleshow/infoshow/2018/10/23/diego-brancatelli-sera-papa-por-segunda-vez/,0.6892901,0.8711684999999999
43982,False,1 d,1,0,"Está mal,pese a que Majul como periodista es asqueroso por lo pesado y aburrido",Alejandro Torras,sociedad,"Adepa condenó y calificó de ""ataque intimidatorio"" los afiches dirigidos al periodista Luis Majul",https://www.infobae.com/sociedad/2018/10/22/adepa-condeno-y-califico-de-ataque-intimidatorio-los-afiches-dirigidos-al-periodista-luis-majul/,0.73964167,0.86783856
34194,False,1 sem,1,0,vos sos oscuro don niembra ! devolvè la guita en vez de ponerla en este diario para que te permitan escribir tus huevadas!,Edüardo Åcøsta,deportes-2,Argentina se preparó para que Brasil no lo golee: el panorama es oscuro,https://www.infobae.com/deportes-2/2018/10/16/argentina-se-preparo-para-que-brasil-no-lo-golee-el-panorama-es-oscuro/&sa=U&ved=0ahUKEwilvNTr95zeAhWGHpAKHWZKArcQFggZMAE&usg=AOvVaw3aLhHswAqd4bUA9pgywS20,0.6811017,0.860719
6579,False,3 sem,·,0,"Una pregunta más a este diario que ganan con publica a estos pobres laburantes un diaro amarillista, un diario asco que es esto a estás personas les hacen una entrevista, y los manda a cara descubierta y a un deloncuente les hacen una entrevista y los borronean las caras feas de esos, parasitos y luego hablan de primer mundo pobre mi país, pobré mi Argentina va mejor dicho pobre Argentina de los más úmilde y laburadoras.🤷‍♂️",Francisco Manuel Cabral,sociedad,Sufrió un violento robo y ahora atiende armado,https://www.infobae.com/sociedad/2018/09/27/sufrio-un-violento-robo-y-ahora-atiende-armado/&sa=U&ved=0ahUKEwiO7oicv5veAhXHiJAKHednAiMQFggZMAE&usg=AOvVaw3fJgVMXX79DjZ5uYDlq7ZS,0.85902584,0.8410329
17951,True,2 sem,·,0,"No era periodista che, era torcedor el que pisoteo, encima bastanta ignorante cuando confundio Argentina con Bolivia..",Lee Huang He,deportes-2,"Clima hostil para Boca en Belo Horizonte: ""Hay que masacrarlos""",https://www.infobae.com/deportes-2/2018/10/04/clima-hostil-para-boca-en-belo-horizonte-hay-que-masacrarlos/&sa=U&ved=0ahUKEwiCpO6rwJveAhUGj5AKHWe7CnMQFggZMAE&usg=AOvVaw0VFaGEB1Aao9K0VBgVxj0U,0.7266589,0.79132634
27841,False,1 sem,2,0,"Siguen las notas pedorras de este pasquin.
Ya esta peor que Cronica
UN ASCO!!!!!!!!!!!!!!!!!!!!!",Marcelo Satinosky,teleshow/infoshow,Un corpiño escandaloso: el polémico y osado look de Candelaria Tinelli,https://www.infobae.com/teleshow/infoshow/2018/10/11/un-corpino-escandaloso-el-polemico-y-osado-look-de-candelaria-tinelli/&sa=U&ved=0ahUKEwiU6p6k9ZzeAhVGhJAKHfIRDNMQFggZMAE&usg=AOvVaw0EXhQuYDuMskaCgRzrfc6Y,0.7096214,0.77750224
