,es_respuesta,fecha,likes,respuestas,texto,usuario,seccion,titulo,url,severe_toxicity,toxicity
37024,False,6 d,7,0,Andá a la puta que te repario Dujovne ladrón asesino!,Patricia Piccini,economia,Nicolás Dujovne: “La inflación de septiembre y octubre son fenómenos transitorios”,https://www.infobae.com/economia/2018/10/17/nicolas-dujovne-la-inflacion-de-septiembre-y-octubre-son-fenomenos-transitorios/&sa=U&ved=0ahUKEwiklI-H-JzeAhWMCpAKHUYsDBsQFggfMAI&usg=AOvVaw21VXIYaeX2KJRwMJSxdX4T,0.90981734,0.98624593
11284,False,3 sem,2,0,Que lo pario como lo aman jaja. Esporas de dictadores hijos de puta son estos peronistas asquerosos..,Carlos Faiasso,politica,Armando Cavalieri fue reelecto al frente del Sindicato de Comercio,https://www.infobae.com/politica/2018/09/29/armando-cavalieri-fue-reelecto-al-frente-del-sindicato-de-comercio/&sa=U&ved=0ahUKEwjLr6PKv5veAhVDEJAKHbNABAQQFggTMAA&usg=AOvVaw3aU11CI58rsxTN8PdmO_PF,0.8825915000000001,0.98624593
39936,False,5 d,2,0,Que pena que no lo mato... estos hijos de puta mataron a lady diana y no se curan e! que barbaro,Franco Nicodemo,teleshow/infoshow,Jennifer Lopez atropelló a un fotógrafo en Los Ángeles,https://www.infobae.com/teleshow/infoshow/2018/10/18/jennifer-lopez-atropello-a-un-fotografo-en-los-angeles/&sa=U&ved=0ahUKEwiulJPD-JzeAhWDGZAKHZLXBCEQFggTMAA&usg=AOvVaw18rgVMspSQ0DT7dKcb9D5n,0.95619047,0.98624593
22309,False,2 sem,4,1,"Ladrones!! Ojalá se les quemen sus oficinas, manga de hijos de puta.",Ariel Michanie,politica,La AFIP aseguró que continuará con sus investigaciones contra la evasión,https://www.infobae.com/politica/2018/10/07/la-afip-aseguro-que-continuara-con-sus-investigaciones-contra-la-evasion/&sa=U&ved=0ahUKEwiJlvHzwJveAhUIl5AKHR36DtAQFgglMAM&usg=AOvVaw3wiXWveukkd8vlsR4v0Nip,0.90981734,0.98555744
5704,False,4 sem,9,0,"Que impotencia pobre tipo, estos hijos de puta siempre cagandonos la vida, ellos no quieren un pais que trabaje quieren un pais para ellos asi siguen robando ...
ojala vayan presos todos estos sindicalistas destituyentes",Sergio Miguel,sociedad,El llanto de un parrillero que no pudo trabajar por un piquete,https://www.infobae.com/sociedad/2018/09/26/el-llanto-de-un-parrillero-que-no-pudo-trabajar-por-un-piquete/&sa=U&ved=0ahUKEwijlMKGv5veAhVHj5AKHbDuBoUQFggfMAI&usg=AOvVaw2uszRGW46dFBW2iHVq8pfi,0.90981734,0.9842324
45937,True,1 d,·,0,Hugo Rosales hijos de puta ....,Marta Fertreg,teleshow/infoshow,Diego Brancatelli será papá por segunda vez,https://www.infobae.com/teleshow/infoshow/2018/10/23/diego-brancatelli-sera-papa-por-segunda-vez/,0.77904665,0.97868896
16568,False,3 sem,1,0,Porque no te vas a la puta que te pario,Angel Piriz,economia,"Para el Gobierno, los precios de los combustibles en la Argentina están bajos",https://www.infobae.com/economia/2018/10/03/para-el-gobierno-los-precios-de-los-combustibles-en-la-argentina-estan-bajos/&sa=U&ved=0ahUKEwjBirGQwJveAhVDOZAKHd-vApgQFggfMAI&usg=AOvVaw0H4wS06Azw8G4sgDg4UO0L,0.7635601,0.97868896
12647,False,3 sem,1,0,"que dairio basura,que medios de prensa basura tenemos...ellos encumbraron a este bolo fecal de macri y ahora se la pasan hablando de lo mal que esta la gente..pARECE UNA TOMADURA DE PELO..PAREDON PARA ESTOS HIJOS DE PUTA...MACRI,,,TRIACA..VIDAL ..ADORARIA TENER UN GOBIERNO COMO EL DE LOS CASTRO...ESTOS HIJOS DE PTA SERIAN FUSILADOS EN BREVE...",Trolstar Escatologica,economia,"La empresa estatal YPF subió 9,5% los precios y la premium ya cuesta más de $43",https://www.infobae.com/economia/2018/09/30/ypf-subio-95-los-precios-de-sus-combustibles-y-la-nafta-premium-ya-cuesta-mas-de-43/&sa=U&ved=0ahUKEwjDsuTUv5veAhWLIJAKHcjDB6UQFgglMAM&usg=AOvVaw1foQ-pyG7_YkWNaYZDsyNg,0.8825915000000001,0.97868896
20088,False,2 sem,1,0,Intransigencia ? Estor reberendos hijos de puta que escriben aqui no tienen verguenza. Como esta manga de globopelotudos que comentan. Por suerte les queda poco.,Maximiliano Romaniejko,sociedad,"Por la intransigencia gremial, hay miles de pasajeros varados en Ezeiza y Aeroparque",https://www.infobae.com/sociedad/2018/10/05/otro-dia-complicado-para-volar-demoras-en-aeroparque-y-ezeiza-por-asambleas-de-aeronauticos/&sa=U&ved=0ahUKEwib5ZjEwJveAhUEipAKHVsjDnsQFgglMAM&usg=AOvVaw2L1xpmDJYNJ1fDrUZRJD27,0.8825915000000001,0.97868896
11184,False,3 sem,9,2,"A ESE TÍTULO DE LA NOTA TE DIGO, LA PUTA QUE TE PARIO GENEREN EMPLEO .................................................. INÚTILES.",Alberto González,economia,"Nicolás Dujovne: ""Si no hay pesos, no hay con qué comprar los dólares""",https://www.infobae.com/economia/2018/09/29/nicolas-dujovne-si-no-hay-pesos-no-hay-con-que-comprar-los-dolares/&sa=U&ved=0ahUKEwir-qHAv5veAhVEHpAKHTy8CRIQFggfMAI&usg=AOvVaw1m_O9g6d4uZEb7L5tMoxRN,0.7666219,0.97868896
9609,True,3 sem,·,0,Maria Cristina Sosa andate a la puta que te pario por mi,Gabriel Cesar Lambars,sociedad,"""No la acosé, la apoyé"": hostigó a una kiosquera y recibió una golpiza de los vecinos",https://www.infobae.com/sociedad/2018/09/28/video-indignante-acoso-a-una-kiosquera-y-quisieron-licharlo/&sa=U&ved=0ahUKEwjzuNyxv5veAhWDkZAKHTxpAyAQFggTMAA&usg=AOvVaw2yOc3IqcAizQ5T86FNNPv9,0.8352564,0.97868896
12646,False,3 sem,5,0,"Que diario basura!!!,que medios de prensa basura tenemos...ellos encumbraron a este bolo fecal de macri y ahora se la pasan hablando de lo mal que esta la gente..PARECE UNA TOMADURA DE PELO..PAREDON PARA ESTOS HIJOS DE PUTA...MACRI,,,TRIACA..VIDAL ..bolsa de cebo carrio...ADORARIA TENER UN GOBIERNO COMO EL DE LOS CASTRO...ESTOS HIJOS DE PuTA SERIAN FUSILADOS EN BREVE...",Trolstar Escatologica,economia,"La empresa estatal YPF subió 9,5% los precios y la premium ya cuesta más de $43",https://www.infobae.com/economia/2018/09/30/ypf-subio-95-los-precios-de-sus-combustibles-y-la-nafta-premium-ya-cuesta-mas-de-43/&sa=U&ved=0ahUKEwjDsuTUv5veAhWLIJAKHcjDB6UQFgglMAM&usg=AOvVaw1foQ-pyG7_YkWNaYZDsyNg,0.8825915000000001,0.97868896
43990,False,1 d,2,1,KKK INMUNDOS HIJOS DE PUTA DEFENSORES DE DELINCUENTES TATI,Teresa Marta Azpiazu,sociedad,"Adepa condenó y calificó de ""ataque intimidatorio"" los afiches dirigidos al periodista Luis Majul",https://www.infobae.com/sociedad/2018/10/22/adepa-condeno-y-califico-de-ataque-intimidatorio-los-afiches-dirigidos-al-periodista-luis-majul/,0.76270425,0.9784259
2061,False,4 sem,3,2,Estos hijos de puta no trabajan nunca?,Alberto Mosquera,sociedad,Los manifestantes cruzaron el Puente Pueyrredón y ahora la protesta se trasladó al centro porteño,https://www.infobae.com/sociedad/2018/09/24/el-dia-de-marchas-comenzo-con-una-importante-concentracion-en-puente-pueyrredon/&sa=U&ved=0ahUKEwjJ0KTbvpveAhWDvZAKHTBwD24QFggfMAI&usg=AOvVaw2mbN0NWyfNVdJ55mBI_-d5,0.73197067,0.97833246
