,es_respuesta,fecha,likes,respuestas,texto,usuario,seccion,titulo,url,severe_toxicity,toxicity
38759,False,6 d,2,0,"estos indios mapuches tiene problemas con todos sus vecinos humanos ,peroooooooo como estamos ahora gracias ala zurda chorra mejor es hablar CHILOTE CARA DE HACHA",Claudio Sofia,politica,Fuerte polémica en Chile por los glaciares de los Hielos Continentales,https://www.infobae.com/politica/2018/10/18/fuerte-polemica-en-chile-por-los-glaciares-de-los-hielos-continentales/&sa=U&ved=0ahUKEwiV0Ki--JzeAhVIIZAKHXbmB2gQFggTMAA&usg=AOvVaw0YHG6rcyVwUpD3qpGCdoLs,0.90587026,0.92028683
33953,False,1 sem,5,0,otro indio trucho...jajajajaja,Sergio Drovandi,sociedad,"Fabio Inalef: ""Para ser mapuche desde el Obelisco se necesita tener una gran fuerza interior""",https://www.infobae.com/sociedad/2018/10/15/fabio-inalef-para-ser-mapuche-desde-el-obelisco-se-necesita-tener-una-gran-fuerza-interior/&sa=U&ved=0ahUKEwjDraXQ95zeAhVKE5AKHRG5AIgQFgglMAM&usg=AOvVaw2lcvz9sbTPZ5TVEjmWhXX6,0.8825915000000001,0.92028683
10534,False,3 sem,3,2,"Se quedaron cortos. Outras fuentes le atribuyen a Stalin 60 millones de muertos, mientras que la segunda guerra mundial causou por lo menos 50 millones todas atribuibles a Hitler.
El comunismo, esa ideologia maldita , y su hijo bastardo el socialismo son tesponsables por 120 millones de muertos en es siglo XX",Mario Severi,america/mundo,Los 10 dictadores más sanguinarios del siglo XX,https://www.infobae.com/america/mundo/2018/09/29/los-10-dictadores-mas-sanguinarios-del-siglo-xx/&sa=U&ved=0ahUKEwjW4dnRv5veAhXCnJAKHSa4AVgQFggZMAE&usg=AOvVaw1VezRphrcKqcWt3w22AOcD,0.90981734,0.92028683
42068,False,4 d,8,0,"Conque derecho este indio bruto viene a nuestro pais a hacer politica ? Pero por
supuesto que solo se puede juntar con ratas como el !",Armando De Maria,politica,"Evo Morales cuestionó los ""golpes judiciales"" en un acto con dirigentes kirchneristas",https://www.infobae.com/politica/2018/10/20/evo-morales-cuestiono-los-golpes-judiciales-en-un-acto-con-dirigentes-kirchneristas/&sa=U&ved=0ahUKEwj_jLyr-ZzeAhXHjpAKHV9iCXsQFgglMAM&usg=AOvVaw3qlfI1jwWXdMKeY7TTo14P,0.8352564,0.91742885
42044,False,3 d,6,0,Indio ladrón con beleidades de Rey Inca y aspiraciones de político de izquierda,Hector Alberto Rodriguez,politica,"Evo Morales cuestionó los ""golpes judiciales"" en un acto con dirigentes kirchneristas",https://www.infobae.com/politica/2018/10/20/evo-morales-cuestiono-los-golpes-judiciales-en-un-acto-con-dirigentes-kirchneristas/&sa=U&ved=0ahUKEwj_jLyr-ZzeAhXHjpAKHV9iCXsQFgglMAM&usg=AOvVaw3qlfI1jwWXdMKeY7TTo14P,0.8825915000000001,0.9054017
4660,False,3 sem,4,0,O sea que según éste personaje las mujeres puden andar en pelotas y nadie tiene derecho a mirarlas siquiera. Pero la muy imbécil se cree no solo con derecho a andar mirando bultos que están vestidos sino también a rociarlos con lavandina. Hitler quedó un poroto al lado de ésto.,Daniel Hernández,america/mundo,La polémica campaña feminista que causó revuelo en el metro de Rusia,https://www.infobae.com/america/mundo/2018/09/26/la-polemica-campana-feminista-que-causo-revuelo-en-el-metro-de-rusia/&sa=U&ved=0ahUKEwiiveORv5veAhWLDJAKHaLQDNYQFggZMAE&usg=AOvVaw2nSOJPCWOQ1LI1ydOFIJjp,0.7954022,0.85690826
28992,False,1 sem,·,7,"Por que no se ponen a laburar en vez de vivir del capital acumulado del otro, vagos! Parasitos.",Coqui Vasconcelos,sociedad,"Nueva ley de alquileres: garantía, comisión y duración del contrato",https://www.infobae.com/sociedad/2018/10/12/nueva-ley-de-alquileres-garantia-comision-y-duracion-del-contrato/&sa=U&ved=0ahUKEwjyrtO29ZzeAhVDDpAKHTZxDhQQFggTMAA&usg=AOvVaw297E83tH7PurSx45S3idpR,0.7266589,0.8481671999999999
5685,False,4 sem,7,0,que le van a entender estos parasitos que viven del estado es decir de los impuestos que paga este laburador.,Angela C. Orellano,sociedad,El llanto de un parrillero que no pudo trabajar por un piquete,https://www.infobae.com/sociedad/2018/09/26/el-llanto-de-un-parrillero-que-no-pudo-trabajar-por-un-piquete/&sa=U&ved=0ahUKEwijlMKGv5veAhVHj5AKHbDuBoUQFggfMAI&usg=AOvVaw2uszRGW46dFBW2iHVq8pfi,0.7266589,0.8481671999999999
6579,False,3 sem,·,0,"Una pregunta más a este diario que ganan con publica a estos pobres laburantes un diaro amarillista, un diario asco que es esto a estás personas les hacen una entrevista, y los manda a cara descubierta y a un deloncuente les hacen una entrevista y los borronean las caras feas de esos, parasitos y luego hablan de primer mundo pobre mi país, pobré mi Argentina va mejor dicho pobre Argentina de los más úmilde y laburadoras.🤷‍♂️",Francisco Manuel Cabral,sociedad,Sufrió un violento robo y ahora atiende armado,https://www.infobae.com/sociedad/2018/09/27/sufrio-un-violento-robo-y-ahora-atiende-armado/&sa=U&ved=0ahUKEwiO7oicv5veAhXHiJAKHednAiMQFggZMAE&usg=AOvVaw3fJgVMXX79DjZ5uYDlq7ZS,0.85902584,0.8410329
33967,False,1 sem,3,0,"Falta q se ponga a cantar ""macho man,"" este indio de YMCA",Cristhian Ritosa,sociedad,"Fabio Inalef: ""Para ser mapuche desde el Obelisco se necesita tener una gran fuerza interior""",https://www.infobae.com/sociedad/2018/10/15/fabio-inalef-para-ser-mapuche-desde-el-obelisco-se-necesita-tener-una-gran-fuerza-interior/&sa=U&ved=0ahUKEwjDraXQ95zeAhVKE5AKHRG5AIgQFgglMAM&usg=AOvVaw2lcvz9sbTPZ5TVEjmWhXX6,0.7765449999999999,0.8364221
2084,False,4 sem,5,1,"como es posible que tengamos el movimiento marxista stalinista maoista????? loco hay que fusilarlos, son tan parasitos como la campora y peores , dan asco estos mugrientos, erradiquenlos.",Sergio Fazio,sociedad,Los manifestantes cruzaron el Puente Pueyrredón y ahora la protesta se trasladó al centro porteño,https://www.infobae.com/sociedad/2018/09/24/el-dia-de-marchas-comenzo-con-una-importante-concentracion-en-puente-pueyrredon/&sa=U&ved=0ahUKEwjJ0KTbvpveAhWDvZAKHTBwD24QFggfMAI&usg=AOvVaw2mbN0NWyfNVdJ55mBI_-d5,0.7266589,0.83032286
28862,True,1 sem,·,0,"Fernando Fernandez , Roberto Garquia: Como se nota que Ud o no alquilan o no estrenaron el cerebro, Ah Claaaaaro son choriplaneros parasitos de mi patria.",Antonio Rodriguez,sociedad,"Nueva ley de alquileres: garantía, comisión y duración del contrato",https://www.infobae.com/sociedad/2018/10/12/nueva-ley-de-alquileres-garantia-comision-y-duracion-del-contrato/&sa=U&ved=0ahUKEwjyrtO29ZzeAhVDDpAKHTZxDhQQFggTMAA&usg=AOvVaw297E83tH7PurSx45S3idpR,0.6963278,0.8023977
25736,True,1 sem,·,0,Haya Madera y vos cres que en 3 boicoteados años vamos a arreglar lo que Ud dejaron en 70?? manga de chorros. parasitos de la patria. choriplaneros del or-to,Antonio Rodriguez,politica,"Guillermo Moreno lanzó su candidatura a presidente: ""Vamos a revolucionar el mundo""",https://www.infobae.com/politica/2018/10/10/guillermo-moreno-lanzo-su-candidatura-a-presidente-vamos-a-revolucionar-el-mundo/&sa=U&ved=0ahUKEwi6pPGD9ZzeAhXHG5AKHQq3B-UQFggrMAQ&usg=AOvVaw0JV4WNQ6SNvD8hGsD4kQaL,0.77578,0.77750224
276,False,4 sem,6,0,Somo PERONIA... PEOR ARGENZUELA... NO TENEMOS REMEDIO... NARCOS Y TERRORISTAS,PuntoMesh,deportes-2,Gonzalito Rodríguez habló sobre el mal momento que vivió en la Bombonera,https://www.infobae.com/deportes-2/2018/09/24/gonzalito-rodriguez-hablo-sobre-el-mal-momento-que-vivio-en-la-bombonera/&sa=U&ved=0ahUKEwi017XYvpveAhUECpAKHSgLDssQFggrMAQ&usg=AOvVaw0SZw4Vhi93d8Mb9ttPp-X9,0.7266589,0.77750224
9826,True,3 sem,·,0,Mejor dicho no la pegamos con los criollos que andan matando gente a lo indio,Nico Montini,sociedad,Francia pidió que la Gendarmería busque al joven mochilero desaparecido en Salta,https://www.infobae.com/sociedad/2018/09/28/francia-pidio-que-la-gendarmeria-busque-al-joven-mochilero-desaparecido-en-salta/&sa=U&ved=0ahUKEwjzuNyxv5veAhWDkZAKHTxpAyAQFggfMAI&usg=AOvVaw01sbF0Upo2HLeZpIIVkh-F,0.85349435,0.77750224
21159,False,·,·,0,"Todos juntos hacen una gran banda de delincuentes... Sudacas al 100%. La""Jefa"" se olvido que Argentina es un Pais Soberano... que sus lakras amigas opinen lo que quieran",Fabián A. Tedeschi,politica,"Con el apoyo de ex presidentes, lanzaron una solicitada para evitar la ""proscripción"" de Cristina Kirchner",https://www.infobae.com/politica/2018/10/06/con-el-apoyo-de-ex-presidentes-lanzaron-una-solicitada-para-evitar-la-proscripcion-de-cristina-kirchner/&sa=U&ved=0ahUKEwiL-f3ewJveAhVGPJAKHRo3AqkQFggfMAI&usg=AOvVaw1G421ogtRr3Ouxjl5CeOzE,0.8044039000000001,0.7735506999999999
2029,False,4 sem,4,0,HASTA CUANDO VAMOS A SOPORTAR ESTA HORDA DE PARASITOS ?????,Juan Carlos Anchart,sociedad,Los manifestantes cruzaron el Puente Pueyrredón y ahora la protesta se trasladó al centro porteño,https://www.infobae.com/sociedad/2018/09/24/el-dia-de-marchas-comenzo-con-una-importante-concentracion-en-puente-pueyrredon/&sa=U&ved=0ahUKEwjJ0KTbvpveAhWDvZAKHTBwD24QFggfMAI&usg=AOvVaw2mbN0NWyfNVdJ55mBI_-d5,0.4528255,0.76062447
26769,True,1 sem,·,0,"Sr Guillermo, de economia no se mucho, pero estos payasos a cuanto creen que se va el dolar cuando las tasas sean las de un Pais real, serio de un 2 a 3 por ciento anual, parasitos inutiles, pero pueden aprender, mis saludos.",Ramon Avellaneda,economia,El dólar en la City alcanzó el precio más bajo desde finales de agosto,https://www.infobae.com/economia/2018/10/11/el-dolar-en-la-city-alcanza-el-precio-mas-bajo-en-mas-de-un-mes/&sa=U&ved=0ahUKEwi_3tWR9ZzeAhWCkpAKHaZIAYAQFgglMAM&usg=AOvVaw1y69YzsbKOZUbtByDUGCTc,0.54119056,0.7052748000000001
12174,False,3 sem,·,2,"El Hitler ruso dejo cientos de miles de muertos civiles mujeres y niños en CHECHENIA, GEORGIA, CRIMEA y en SIRIA ademas de los genocidios contra sus propios ciudadanos dentro y fuera de Rusia, Testigos de Jehova, Tartaros, homosexuales, a todos ellos los nombra terroristas, hasta un avion comercial MALASIO con 300 civiles holandeses, puros crimenes de Lesa Humanidad, tiene las manos llenas de sangre inocente y no para.",Ed Garcia,america/mundo,Reportan que más de 18.000 personas han muerto en los bombardeos rusos sobre Siria,https://www.infobae.com/america/mundo/2018/09/30/reportan-que-mas-de-18-000-personas-han-muerto-en-los-bombardeos-rusos-sobre-siria/&sa=U&ved=0ahUKEwjMw63lv5veAhVHHJAKHXufA7QQFggZMAE&usg=AOvVaw24sP7dSjDYqFLk5NH1yNhN,0.83909625,0.68848574
37620,False,1 sem,4,0,hasta cuando vamos a seguir manteniendo a estos parasitos de la politica que no nos ofrecen mejoria alguna a los contribuyentes ???,Eugenio Fiori,politica,Victoria Donda lanza un nuevo partido y sueña con una candidatura presidencial,https://www.infobae.com/politica/2018/10/17/victoria-donda-lanza-un-nuevo-partido-y-suena-con-una-candidatura-presidencial/&sa=U&ved=0ahUKEwi82--a-JzeAhVCgJAKHZ7VC7oQFgglMAM&usg=AOvVaw0r5bLdR2FCQhkcjaSXjqdE,0.55931383,0.68848574
10510,False,3 sem,1,5,Hitler digno representante de la extrema derecha recalcitrante...y copia del fascimo nada mas!!!☝,Yoc Hugo,america/mundo,Los 10 dictadores más sanguinarios del siglo XX,https://www.infobae.com/america/mundo/2018/09/29/los-10-dictadores-mas-sanguinarios-del-siglo-xx/&sa=U&ved=0ahUKEwjW4dnRv5veAhXCnJAKHSa4AVgQFggZMAE&usg=AOvVaw1VezRphrcKqcWt3w22AOcD,0.8297828000000002,0.68006724
33927,False,1 sem,3,0,INDIO TRUCHO PARECE VENDEDOR AMBULANTE DEL ONCE !!! JAJAJAJAAJAJAJAJA,Sergio Jose Irrutia,sociedad,"Fabio Inalef: ""Para ser mapuche desde el Obelisco se necesita tener una gran fuerza interior""",https://www.infobae.com/sociedad/2018/10/15/fabio-inalef-para-ser-mapuche-desde-el-obelisco-se-necesita-tener-una-gran-fuerza-interior/&sa=U&ved=0ahUKEwjDraXQ95zeAhVKE5AKHRG5AIgQFgglMAM&usg=AOvVaw2lcvz9sbTPZ5TVEjmWhXX6,0.6597893,0.67429656
30745,False,1 sem,3,0,"Para cuando la deportacion inmediata de todo extranjero o nacionalizado que cometa la minima contravencion, basta de bancarnos manteros, piqueteros y chorros extranjeros!",Carlos Ferro,sociedad,Cuatro heridos en un operativo de desalojo de manteros senegaleses en Flores,https://www.infobae.com/sociedad/2018/10/13/cuatro-heridos-en-un-operativo-de-desalojo-de-manteros-senegaleses-en-flores/&sa=U&ved=0ahUKEwj88JnO9ZzeAhWFH5AKHaBoBZ0QFggZMAE&usg=AOvVaw2jopAzMVqdataJ3c58JKm6,0.8352564,0.67429656
41954,True,3 d,1,0,"Sr Luis Maria, si los payasos parasitos no dan plan no ganan las elecciones, ademas no es dinero de ellos, lo piden prestados y despues lo pagamos nosotros, mis saludos.",Ramon Avellaneda,politica,"La UCR criticó al Gobierno por ""financiar"" a los movimientos sociales",https://www.infobae.com/politica/2018/10/20/la-ucr-critico-al-gobierno-por-financiar-a-los-movimientos-sociales/&sa=U&ved=0ahUKEwj_jLyr-ZzeAhXHjpAKHV9iCXsQFggfMAI&usg=AOvVaw13k-waY06SETBBu2ukdq1i,0.46682182,0.67429656
10506,False,3 sem,3,3,"creo que han sido muy benevolos con Hitler y su pandilla( se le ve el plumero al confeccionador de la lista) ....creo que tambien han sido benevolos con Pol Pot.. Creo aue falta Franco en la lista, sobre todo si sacamos de la lista a las personas que mataron de hambre estos sujetos de la lista y dejamos solo a los asesinados, dirctamente... aunque Franco tambien mato a miles y miles de hambre",Jose Ignacio Otaegui,america/mundo,Los 10 dictadores más sanguinarios del siglo XX,https://www.infobae.com/america/mundo/2018/09/29/los-10-dictadores-mas-sanguinarios-del-siglo-xx/&sa=U&ved=0ahUKEwjW4dnRv5veAhXCnJAKHSa4AVgQFggZMAE&usg=AOvVaw1VezRphrcKqcWt3w22AOcD,0.8352564,0.67429656
13996,False,3 sem,6,1,"Supongo que esos millones que se pagaron, volveran a la gente que pago sus impuestos y no tirarla a los planeros corta calles o las gordas bolitas llenas de hijos.",Ciro Mendiez,economia,YPF se quedó con la petrolera de Cristóbal López,https://www.infobae.com/economia/2018/10/01/ypf-se-quedo-con-la-petrolera-de-cristobal-lopez/&sa=U&ved=0ahUKEwjBzOjov5veAhWKiJAKHTtqD3oQFggZMAE&usg=AOvVaw1_h2LzRMNB-q6AQBFmOrcQ,0.7266589,0.65022653
